,ITER,POINT,(E - E0)/E0,FID,ratio
0,0,"[628, 759]",0.40234375,0.25,2.0
1,1,"[607, 764]",0.357421875,0.296875,2.375
2,2,"[596, 780]",0.43359375,0.2578125,2.357142857142857
3,3,"[306, 747]",0.36328125,0.2734375,1.8421052631578947
4,4,"[303, 761]",0.357421875,0.3046875,2.4375
5,5,"[301, 768]",0.41796875,0.3203125,2.7333333333333334
6,6,"[270, 732]",0.353515625,0.234375,1.4285714285714286
7,7,"[254, 732]",0.41015625,0.140625,0.0
8,8,"[354, 775]",0.380859375,0.3515625,3.75
9,9,"[661, 800]",0.359375,0.3125,1.8181818181818181
10,10,"[668, 800]",0.353515625,0.34375,2.588235294117647
11,11,"[671, 800]",0.345703125,0.375,2.0869565217391304
12,12,"[687, 800]",0.384765625,0.34375,3.142857142857143
13,13,"[247, 800]",0.267578125,0.4375,5.090909090909091
14,14,"[200, 799]",0.27734375,0.3046875,1.8571428571428572
15,15,"[200, 800]",0.30859375,0.234375,1.0714285714285714
16,16,"[200, 800]",0.337890625,0.296875,1.5833333333333333
17,17,"[200, 799]",0.33984375,0.25,1.5238095238095237
18,18,"[799, 799]",0.5078125,0.0625,0.0
19,19,"[297, 200]",0.505859375,0.1796875,1.2777777777777777
20,20,"[466, 800]",0.484375,0.2109375,2.076923076923077
21,21,"[799, 200]",0.4453125,0.1953125,1.1904761904761905
22,22,"[200, 722]",0.44921875,0.0234375,0.0
23,23,"[680, 200]",0.494140625,0.0234375,0.0
24,24,"[256, 800]",0.28125,0.4609375,3.6875
25,25,"[257, 800]",0.259765625,0.484375,4.428571428571429
26,26,"[260, 799]",0.251953125,0.4921875,5.7272727272727275
27,27,"[264, 800]",0.27734375,0.4765625,4.066666666666666
28,28,"[200, 200]",0.458984375,0.0546875,0.0
29,29,"[800, 545]",0.677734375,0.0,0.0
30,30,"[265, 800]",0.294921875,0.46875,4.615384615384615
31,31,"[266, 800]",0.28515625,0.4375,4.3076923076923075
32,32,"[266, 800]",0.3046875,0.40625,4.333333333333333
33,33,"[269, 800]",0.296875,0.4375,4.0
34,34,"[421, 200]",0.412109375,0.1875,1.263157894736842
35,35,"[200, 584]",0.62890625,0.0390625,0.0
36,36,"[252, 800]",0.306640625,0.4140625,4.076923076923077
37,37,"[290, 800]",0.2734375,0.4921875,5.7272727272727275
38,38,"[290, 800]",0.30859375,0.4921875,4.5
39,39,"[200, 799]",0.3125,0.21875,0.0
40,40,"[247, 800]",0.29296875,0.3671875,3.1333333333333333
41,41,"[297, 800]",0.30859375,0.4921875,4.2
42,42,"[241, 799]",0.279296875,0.3828125,3.2666666666666666
43,43,"[200, 799]",0.31640625,0.2734375,1.5909090909090908
44,44,"[252, 800]",0.294921875,0.421875,3.6
45,45,"[303, 799]",0.28125,0.5,4.266666666666667
46,46,"[303, 800]",0.302734375,0.453125,4.461538461538462
47,47,"[250, 800]",0.26953125,0.4765625,4.6923076923076925
48,48,"[251, 800]",0.30859375,0.3984375,3.0
49,49,"[311, 800]",0.296875,0.5234375,6.7
50,50,"[252, 800]",0.287109375,0.390625,2.5
51,51,"[313, 800]",0.349609375,0.453125,5.8
52,52,"[200, 799]",0.341796875,0.2734375,1.8421052631578947
53,53,"[642, 336]",0.658203125,0.0546875,0.0
54,54,"[443, 708]",0.56640625,0.1171875,0.0
55,55,"[253, 799]",0.3046875,0.375,3.0
56,56,"[254, 799]",0.27734375,0.3984375,3.4
57,57,"[254, 799]",0.279296875,0.4375,4.0
58,58,"[254, 799]",0.265625,0.4375,4.3076923076923075
59,59,"[200, 799]",0.341796875,0.1953125,1.0869565217391304
60,60,"[268, 799]",0.30078125,0.46875,4.285714285714286
61,61,"[271, 799]",0.236328125,0.4765625,5.545454545454546
62,62,"[447, 200]",0.408203125,0.2578125,2.2
63,63,"[343, 799]",0.40234375,0.3828125,4.9
64,64,"[799, 258]",0.470703125,0.21875,1.6470588235294117
65,65,"[366, 200]",0.412109375,0.25,1.3333333333333333
66,66,"[574, 799]",0.41796875,0.3203125,3.1538461538461537
67,67,"[200, 278]",0.546875,0.1015625,0.0
68,68,"[799, 716]",0.5546875,0.09375,0.0
69,69,"[451, 294]",0.537109375,0.0625,0.0
70,70,"[569, 200]",0.48828125,0.046875,0.0
71,71,"[200, 799]",0.328125,0.265625,1.4166666666666667
72,72,"[200, 799]",0.32421875,0.265625,1.3076923076923077
73,73,"[715, 799]",0.375,0.28125,2.5714285714285716
74,74,"[258, 799]",0.279296875,0.484375,5.166666666666667
75,75,"[258, 799]",0.265625,0.4609375,5.363636363636363
76,76,"[328, 799]",0.357421875,0.4453125,4.384615384615385
77,77,"[251, 799]",0.30078125,0.3828125,2.7222222222222223
78,78,"[200, 799]",0.29296875,0.296875,1.9
79,79,"[251, 799]",0.328125,0.3515625,2.5
80,80,"[680, 736]",0.375,0.296875,3.4545454545454546
81,81,"[238, 761]",0.349609375,0.25,1.8823529411764706
82,82,"[316, 636]",0.529296875,0.0390625,0.0
83,83,"[799, 200]",0.46875,0.1640625,1.105263157894737
84,84,"[619, 799]",0.365234375,0.3671875,2.1363636363636362
85,85,"[200, 799]",0.337890625,0.25,1.7777777777777777
86,86,"[274, 799]",0.33984375,0.4140625,5.3
87,87,"[374, 799]",0.404296875,0.3203125,3.1538461538461537
88,88,"[200, 742]",0.388671875,0.078125,0.0
89,89,"[717, 799]",0.349609375,0.3359375,3.3076923076923075
90,90,"[680, 736]",0.423828125,0.2421875,1.8235294117647058
91,91,"[361, 200]",0.43359375,0.265625,2.125
92,92,"[544, 799]",0.39453125,0.2578125,1.9411764705882353
93,93,"[566, 712]",0.4921875,0.1171875,0.0
94,94,"[637, 799]",0.287109375,0.4765625,4.066666666666666
95,95,"[638, 799]",0.38671875,0.3515625,2.25
96,96,"[249, 799]",0.322265625,0.3671875,3.357142857142857
97,97,"[727, 799]",0.421875,0.21875,2.0
98,98,"[313, 273]",0.44921875,0.1640625,0.0
99,99,"[683, 480]",0.673828125,0.0625,0.0
100,71,"[200, 799]",0.328125,0.265625,1.4166666666666667
