iter,point,energy_sampled,approximation_ratio,energy_best,variance_sampled,fidelity_sampled,fidelity_best,ratio_solution,ratio_solution_best,corr_length,const_kernel,noise_level,std_energies,average_distances,n_iterations,time_opt_bayes,time_qaoa,time_opt_kernel,time_step,sampled_state
0,"[523, 435]",-2.1153846153846154,0.47115384615384615,-0.7692307692307693,0.08560794044665011,0.0,0.4375,0.0,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'001101': 1, '101001': 2, '001100': 2, '001001': 5, '100001': 7, '010001': 2, '100100': 5, '101000': 2}"
1,"[602, 649]",-3.076923076923077,0.23076923076923073,-0.7692307692307693,0.8337468982630271,0.4375,0.4375,2.8,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 14, '001100': 5, '100100': 3, '010001': 2, '100010': 2}"
2,"[134, 230]",-1.9230769230769231,0.5192307692307692,-0.7692307692307693,0.1885856079404466,0.0,0.4375,0.0,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'001101': 1, '101001': 1, '100001': 13, '100010': 3, '010001': 1, '001001': 1, '001100': 1, '101000': 1, '000001': 4}"
3,"[681, 111]",-2.4615384615384617,0.3846153846153846,-0.7692307692307693,1.1116625310173693,0.21875,0.4375,1.1666666666666667,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 7, '101100': 5, '101000': 1, '100100': 4, '010001': 1, '001100': 1, '010000': 6, '000010': 1}"
4,"[280, 733]",-1.8846153846153846,0.5288461538461539,-0.7692307692307693,0.6662531017369727,0.03125,0.4375,0.0,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 1, '101100': 4, '101001': 2, '000101': 3, '001100': 2, '100010': 1, '100100': 1, '001001': 1, '000100': 4, '000001': 3, '100000': 4}"
5,"[322, 496]",-2.3076923076923075,0.42307692307692313,-0.7692307692307693,0.4367245657568239,0.125,0.4375,0.0,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 4, '001100': 8, '010001': 7, '001001': 1, '100010': 2, '101000': 4, '100001': 0}"
6,"[479, 257]",-0.7692307692307693,0.8076923076923077,-0.7692307692307693,0.6004962779156329,0.0,0.4375,0.0,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101100': 1, '101000': 2, '001100': 1, '000101': 1, '000100': 3, '100000': 4, '001000': 1, '000010': 1, '000000': 12}"
7,"[392, 664]",-2.5384615384615383,0.3653846153846154,-0.7692307692307693,0.5955334987593053,0.125,0.4375,0.0,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 4, '001101': 2, '101100': 6, '010001': 6, '100010': 1, '101000': 2, '100001': 1, '001100': 1, '001001': 1, '000001': 2}"
8,"[789, 537]",-2.8076923076923075,0.29807692307692313,-0.7692307692307693,0.7754342431761786,0.3125,0.4375,1.25,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 10, '101100': 1, '100001': 2, '001100': 8, '010001': 2, '100100': 2, '100010': 1, '101000': 0}"
9,"[230, 316]",-1.1923076923076923,0.7019230769230769,-0.7692307692307693,0.5818858560794046,0.0,0.4375,0.0,2.8,1.115605737764525,0.23470569379665535,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'001001': 1, '100001': 4, '000101': 5, '010001': 1, '001100': 1, '100000': 6, '000001': 1, '000000': 7}"
0,"[613, 632]",-3.269230769230769,0.1826923076923077,-3.076923076923077,0.7456575682382135,0.5,0.5,4.0,4.0,0.24077561909199788,0.9777369237909372,0.022409097942706423,0.000518493653074514,0.009311022269401037,10,0.03612709045410156,5.887823820114136,0.09529805183410645,6.019248962402344,"{'101101': 16, '101100': 1, '100100': 1, '010001': 2, '001100': 4, '001001': 2}"
1,"[638, 606]",-3.3076923076923075,0.17307692307692313,-3.269230769230769,0.694789081885856,0.5,0.5,2.0,4.0,0.24960424181392166,0.9443543898902031,0.007802083367310505,0.0004897204157031781,0.0034260631739395746,12,0.0335237979888916,5.5961081981658936,0.09908509254455566,5.728717088699341,"{'101101': 16, '001101': 1, '101100': 1, '001100': 8}"
