iter,point,energy_sampled,approximation_ratio,energy_best,variance_sampled,fidelity_sampled,fidelity_best,ratio_solution,ratio_solution_best,corr_length,const_kernel,noise_level,std_energies,average_distances,n_iterations,time_opt_bayes,time_qaoa,time_opt_kernel,time_step,sampled_state
0,"[152, 313]",-1.2692307692307692,0.6826923076923077,-1.2692307692307692,2.100496277915633,0.0,0.25,0.0,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101001': 2, '100101': 5, '001001': 2, '010001': 1, '100010': 1, '100000': 6, '000001': 3, '001000': 1, '000000': 3, '110000': 2}"
1,"[786, 297]",-1.2692307692307692,0.6826923076923077,-1.2692307692307692,0.358560794044665,0.0,0.25,0.0,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'001100': 3, '100100': 1, '101000': 2, '001001': 2, '010001': 2, '000010': 2, '000100': 4, '000001': 4, '100000': 1, '010000': 1, '001000': 1, '000000': 3}"
2,"[705, 643]",-2.6538461538461537,0.33653846153846156,-1.2692307692307692,1.0285359801488831,0.25,0.25,2.6666666666666665,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 8, '001101': 3, '101100': 2, '101001': 1, '010001': 1, '100010': 1, '101000': 1, '001001': 3, '001100': 1, '000100': 3, '000001': 1, '100000': 1, '010000': 0}"
3,"[333, 441]",-2.3461538461538463,0.41346153846153844,-1.2692307692307692,0.8349875930521093,0.15625,0.25,1.25,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 5, '100101': 3, '101100': 1, '001001': 4, '010001': 4, '100001': 2, '101000': 1, '000101': 1, '000010': 2, '000001': 3, '000000': 0}"
4,"[597, 739]",-2.1538461538461537,0.46153846153846156,-1.2692307692307692,0.43176178660049636,0.03125,0.25,0.0,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 1, '001101': 2, '101100': 2, '100101': 2, '001001': 2, '100001': 1, '100010': 4, '100100': 1, '010001': 1, '000101': 2, '001100': 4, '000100': 1, '000001': 2, '000010': 1, '100000': 0}"
5,"[239, 692]",-2.1538461538461537,0.46153846153846156,-1.2692307692307692,0.5607940446650124,0.0,0.25,0.0,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'001101': 6, '101100': 4, '100101': 1, '100010': 2, '010001': 3, '001001': 1, '000101': 1, '001100': 1, '001000': 5, '010000': 2, '100000': 0}"
6,"[302, 221]",-1.7307692307692308,0.5673076923076923,-1.2692307692307692,0.8101736972704713,0.09375,0.25,0.0,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 3, '100001': 3, '001100': 2, '101000': 2, '010001': 3, '000101': 1, '100000': 4, '000001': 5, '001000': 2, '000000': 1}"
7,"[490, 138]",-1.8461538461538463,0.5384615384615384,-1.2692307692307692,0.36724565756823824,0.0,0.25,0.0,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'001101': 2, '101001': 2, '010001': 3, '100010': 6, '000101': 3, '001100': 1, '101000': 1, '000001': 3, '100000': 4, '000100': 1}"
8,"[417, 455]",-2.230769230769231,0.4423076923076923,-1.2692307692307692,0.9230769230769232,0.15625,0.25,1.6666666666666667,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 5, '100101': 2, '001101': 1, '010001': 3, '001100': 1, '101000': 2, '100010': 2, '000101': 2, '001001': 1, '001000': 3, '000100': 3, '100000': 1, '000010': 0}"
9,"[571, 576]",-2.0,0.5,-1.2692307692307692,0.9032258064516129,0.0625,0.25,0.0,2.6666666666666665,0.9918206940094966,0.1554467632657432,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 2, '001101': 2, '100101': 1, '101001': 2, '101100': 1, '001100': 7, '010001': 3, '001000': 1, '000100': 2, '000001': 1, '100000': 1, '000010': 1, '000000': 2, '011001': 0}"
0,"[715, 649]",-2.8076923076923075,0.29807692307692313,-2.6538461538461537,0.8399503722084366,0.28125,0.28125,1.8,1.8,0.1714181006274696,0.9133246686031367,0.031824232677929144,0.0009918972074438456,0.0055460500731460685,11,0.06628012657165527,86.61327981948853,0.09037017822265625,86.76993012428284,"{'101101': 9, '101001': 3, '001101': 2, '001100': 5, '001001': 2, '010001': 2, '100010': 1, '000001': 2, '100000': 0}"
1,"[740, 661]",-2.3461538461538463,0.41346153846153844,-2.8076923076923075,0.8349875930521095,0.15625,0.28125,1.6666666666666667,1.8,0.04199788346788308,0.8621382778042692,9.999999999999997e-06,0.0008861623452351918,0.0050481677247220455,13,0.046427011489868164,86.30962109565735,0.10471391677856445,86.46076202392578,"{'101101': 5, '101100': 3, '101001': 1, '100100': 3, '010001': 3, '000101': 1, '100010': 2, '101000': 1, '001100': 1, '001001': 1, '010000': 3, '000001': 2}"
2,"[715, 651]",-2.3076923076923075,0.42307692307692313,-2.8076923076923075,0.7593052109181141,0.0625,0.28125,0.0,1.8,0.1611861267395027,0.721167778668782,0.2529274710622919,0.00028931846461022746,0.0015461278612867765,20,0.0709230899810791,86.61458992958069,0.10046005249023438,86.785973072052,"{'101101': 2, '100101': 6, '101100': 3, '001101': 2, '100100': 2, '100010': 2, '010001': 1, '100001': 1, '100000': 3, '001000': 3, '000010': 1}"
3,"[704, 626]",-2.6923076923076925,0.32692307692307687,-2.8076923076923075,0.759305210918114,0.21875,0.28125,1.4,1.8,0.15498489239205296,0.8025078542866408,0.19372750536639227,0.0005384624456681613,0.0046032710814129935,14,0.04904007911682129,85.22290778160095,0.09612917900085449,85.36807799339294,"{'101101': 7, '101001': 3, '001101': 2, '101100': 1, '101000': 2, '001100': 5, '100001': 1, '010001': 1, '001001': 1, '100010': 1, '000010': 2}"
4,"[704, 610]",-2.3846153846153846,0.40384615384615385,-2.8076923076923075,0.58560794044665,0.09375,0.28125,0.0,1.8,0.19202986925729498,0.8583965897712789,0.21221912150315272,0.00046564679741046227,0.003861240331351304,14,0.04871821403503418,86.76052713394165,0.08534789085388184,86.89459323883057,"{'101101': 3, '101100': 4, '001101': 2, '100101': 1, '001100': 7, '100010': 2, '000101': 1, '100001': 1, '010001': 1, '101000': 1, '000001': 1, '100000': 2, '000000': 0}"
5,"[700, 647]",-2.076923076923077,0.4807692307692307,-2.8076923076923075,0.7047146401985109,0.09375,0.28125,0.0,1.8,0.21691528884361505,0.7896650741333706,0.34551439728134037,0.000982828866993365,0.00568739405010557,14,0.050177812576293945,87.69529104232788,0.08747291564941406,87.83294177055359,"{'101101': 3, '101001': 1, '001101': 1, '100101': 1, '010001': 5, '100001': 2, '100010': 3, '001100': 3, '100000': 3, '000001': 3, '001000': 1, '000000': 0}"
6,"[775, 637]",-2.1538461538461537,0.46153846153846156,-2.8076923076923075,1.012406947890819,0.09375,0.28125,0.0,1.8,0.20487700405223383,0.7805175190488816,0.3681979988742943,0.0005833041254986489,0.00796325387099646,11,0.03979778289794922,84.11268019676208,0.10906291007995605,84.26154208183289,"{'101101': 3, '001101': 4, '100101': 4, '001100': 4, '100001': 1, '100100': 1, '000001': 4, '001000': 1, '100000': 1, '010000': 1, '000100': 1, '000000': 1, '001010': 0}"
7,"[700, 644]",-2.423076923076923,0.3942307692307693,-2.8076923076923075,0.7208436724565757,0.0625,0.28125,0.0,1.8,0.21572819724694456,0.8945863147526457,0.33431955987154655,0.00016922346740317346,0.0036601118634439194,14,0.08199882507324219,86.65202403068542,0.08919310569763184,86.8232159614563,"{'101101': 2, '001101': 6, '100101': 3, '101001': 2, '101100': 2, '001100': 1, '100010': 1, '100100': 2, '100001': 1, '000010': 2, '100000': 3, '000001': 1, '001000': 0}"
8,"[700, 650]",-2.6923076923076925,0.32692307692307687,-2.8076923076923075,0.9528535980148883,0.21875,0.28125,1.4,1.8,0.21983094224390554,0.9682252267508787,0.31823502970997514,0.0008289011489050128,0.009670568141435942,14,0.04701495170593262,86.87568879127502,0.07827210426330566,87.00097680091858,"{'101101': 7, '001101': 5, '101100': 3, '101001': 1, '100001': 1, '100010': 1, '001100': 2, '001001': 1, '100000': 2, '000001': 3}"
9,"[697, 667]",-2.730769230769231,0.3173076923076923,-2.8076923076923075,0.5521091811414391,0.15625,0.28125,1.25,1.8,0.22963424412527317,1.0518484347926582,0.3066551811273071,0.000309014189576545,0.003372795427025096,13,0.0456693172454834,86.76712989807129,0.08209490776062012,86.89489507675171,"{'101101': 5, '101001': 4, '001101': 3, '101100': 2, '100101': 1, '100100': 1, '100001': 4, '001100': 3, '100010': 1, '010001': 1, '000100': 1}"
10,"[701, 695]",-2.5384615384615383,0.3653846153846154,-2.8076923076923075,0.9181141439205954,0.1875,0.28125,1.5,1.8,0.24476491978710105,1.1574705647878052,0.28966324371354685,0.0005899267367496582,0.00547241637876669,19,0.06208491325378418,84.9842381477356,0.07718586921691895,85.1235089302063,"{'101101': 6, '001101': 4, '101100': 3, '100100': 1, '101000': 4, '000101': 1, '001100': 2, '001000': 4, '000001': 1, '000010': 0}"
11,"[706, 705]",-2.5384615384615383,0.3653846153846154,-2.8076923076923075,0.7890818858560796,0.15625,0.28125,1.0,1.8,0.2561605302622677,1.2601746514339067,0.27457059735364125,0.0005589691264451561,0.00913549656248363,14,0.04696774482727051,86.8481969833374,0.09428095817565918,86.98944568634033,"{'101101': 5, '101100': 5, '101001': 1, '001101': 2, '010001': 1, '100001': 1, '001100': 1, '101000': 2, '001001': 2, '100100': 2, '000010': 3, '000001': 1}"
12,"[743, 780]",-2.4615384615384617,0.3846153846153846,-2.8076923076923075,1.3052109181141438,0.1875,0.28125,1.5,1.8,0.276104075895104,1.3046634398366699,0.27747827278795734,0.00024762276298842474,0.009965342516003284,15,0.04951810836791992,86.57814407348633,0.09026193618774414,86.71792531013489,"{'101101': 6, '101001': 3, '101100': 4, '001101': 3, '001001': 1, '000010': 2, '001000': 4, '100000': 1, '000001': 1, '000000': 1}"
