iter,point,energy_sampled,approximation_ratio,energy_best,variance_sampled,fidelity_sampled,fidelity_best,ratio_solution,ratio_solution_best,corr_length,const_kernel,noise_level,std_energies,average_distances,n_iterations,time_opt_bayes,time_qaoa,time_opt_kernel,time_step,sampled_state
0,"[217, 240, 707, 674]",-2.607843137254902,0.3480392156862745,-1.3137254901960784,0.7534681856932494,0.20078740157480315,0.2283464566929134,1.5,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 51, '101001': 14, '001101': 4, '101100': 6, '100101': 18, '001001': 15, '001100': 5, '000101': 17, '100001': 34, '100100': 11, '101000': 7, '100010': 1, '010001': 1, '100000': 13, '000001': 7}"
1,"[669, 492, 559, 493]",-2.4607843137254903,0.3848039215686274,-1.3137254901960784,0.8090366581415175,0.15748031496062992,0.2283464566929134,1.2903225806451613,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 40, '001101': 10, '101100': 11, '101001': 20, '100101': 10, '100001': 31, '010001': 8, '100010': 3, '000101': 2, '001100': 25, '100100': 5, '101000': 1, '001001': 1, '000010': 9, '100000': 17, '001000': 8, '000001': 3}"
2,"[372, 626, 433, 571]",-2.769607843137255,0.3075980392156863,-1.3137254901960784,0.807002247539332,0.2283464566929134,0.2283464566929134,1.7058823529411764,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 58, '001101': 19, '101001': 10, '101100': 34, '100101': 4, '100010': 8, '000101': 9, '100001': 13, '001100': 5, '010001': 11, '101000': 3, '001001': 3, '100100': 1, '000100': 24, '000001': 2}"
3,"[437, 156, 323, 280]",-2.176470588235294,0.4558823529411765,-1.3137254901960784,0.9472215763775865,0.14960629921259844,0.2283464566929134,1.4074074074074074,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 38, '101100': 16, '001101': 8, '100101': 3, '100100': 7, '100001': 27, '010001': 6, '001100': 10, '000101': 5, '101000': 4, '001001': 5, '100010': 8, '001000': 23, '000010': 10, '010000': 21, '000100': 13}"
4,"[152, 408, 267, 124]",-1.3137254901960784,0.6715686274509804,-1.3137254901960784,0.47399829497016205,0.011811023622047244,0.2283464566929134,0.0,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 3, '101001': 5, '100101': 7, '101100': 2, '001101': 1, '100010': 12, '100001': 15, '010001': 11, '001100': 1, '010000': 44, '000010': 61, '100000': 6, '000001': 15, '001000': 3, '000100': 4, '000000': 14}"
5,"[526, 579, 774, 780]",-1.9656862745098038,0.508578431372549,-1.3137254901960784,1.0385763000852515,0.1062992125984252,0.2283464566929134,0.0,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 27, '001101': 9, '101100': 6, '101001': 13, '100101': 13, '001100': 37, '100001': 2, '010001': 1, '000001': 7, '010000': 35, '100000': 11, '000010': 33, '001000': 3, '000100': 1, '000000': 6}"
6,"[518, 787, 142, 422]",-1.642156862745098,0.5894607843137255,-1.3137254901960784,0.38291482600945514,0.007874015748031496,0.2283464566929134,0.0,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 2, '101100': 7, '100101': 2, '001101': 8, '101001': 2, '100010': 12, '001100': 8, '100100': 9, '010001': 23, '101000': 9, '000101': 9, '100001': 11, '001001': 6, '000001': 26, '000010': 20, '100000': 23, '010000': 21, '000100': 6}"
7,"[266, 208, 477, 364]",-1.8333333333333333,0.5416666666666667,-1.3137254901960784,1.1870882740447959,0.0984251968503937,0.2283464566929134,0.0,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 25, '001101': 15, '101100': 13, '100101': 3, '101001': 6, '000101': 6, '001100': 15, '010001': 5, '001001': 2, '100010': 10, '100100': 5, '101000': 2, '010000': 31, '000010': 32, '100000': 3, '001000': 2, '000001': 5, '000000': 24}"
8,"[650, 706, 653, 634]",-2.0588235294117645,0.4852941176470589,-1.3137254901960784,0.6375261567077425,0.04330708661417323,0.2283464566929134,0.0,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 11, '001101': 15, '100101': 14, '101100': 12, '101001': 13, '001100': 47, '100001': 16, '100100': 1, '010001': 7, '100010': 4, '001000': 25, '000010': 23, '100000': 16, '010000': 0}"
9,"[767, 329, 179, 236]",-2.892156862745098,0.2769607843137255,-1.3137254901960784,0.10129427264977138,0.011811023622047244,0.2283464566929134,0.0,1.7058823529411764,0.9945217717515799,68.97096546240068,0.0054933358813365266,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'101101': 3, '101100': 53, '101001': 25, '100101': 25, '001101': 73, '000101': 14, '100001': 11}"
