iter,point,energy_sampled,approximation_ratio,energy_best,variance_sampled,fidelity_sampled,fidelity_best,ratio_solution,ratio_solution_best,corr_length,const_kernel,noise_level,std_energies,average_distances,n_iterations,time_opt_bayes,time_qaoa,time_opt_kernel,time_step,sampled_state
0,"[356, 153, 224, 105, 315, 301, 114, 328, 123, 246]",-2.0637254901960786,0.5872549019607842,-1.1372549019607843,0.9730101526776718,0.015748031496062992,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 4, '10100000101': 1, '00110001100': 3, '10001001100': 2, '10100100001': 1, '10100100010': 4, '10100010001': 1, '01000100101': 2, '00110010001': 1, '00110001000': 5, '01000100001': 2, '10000000101': 4, '00100100001': 11, '00110000001': 3, '00010000101': 1, '10001001000': 4, '10000100010': 2, '10001010000': 2, '10001000100': 3, '10000010001': 1, '00110010000': 1, '01000000101': 1, '00010001100': 1, '10000100100': 4, '01000100010': 3, '01000010001': 1, '00000100101': 1, '10001000010': 1, '01000000001': 1, '00010010000': 4, '10000000001': 2, '00100000001': 6, '10000010000': 5, '00000010001': 3, '00000100100': 2, '00001001000': 10, '10000000100': 2, '00100000010': 1, '01000000010': 2, '10000100000': 2, '00100100000': 4, '00110000000': 3, '00000001100': 3, '10001000000': 3, '00001000001': 3, '00000100001': 3, '00000000101': 3, '00100000100': 1, '01000010000': 1, '00100000000': 12, '00000000001': 9, '00000000100': 11, '00000000010': 1, '01000000000': 3, '00000010000': 4, '10000000000': 13, '00010000000': 3, '00000001000': 2, '00001000000': 2, '00000000000': 10}"
1,"[173, 278, 148, 227, 157, 247, 358, 110, 242, 268]",-2.607843137254902,0.4784313725490196,-1.1372549019607843,0.6902270789738821,0.003937007874015748,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 1, '10001000101': 4, '00110010001': 5, '10000100101': 2, '10100001100': 4, '00110001100': 5, '10001001100': 7, '01000100101': 4, '10100100001': 3, '10100010001': 2, '10100100010': 1, '10001010001': 2, '00100100101': 1, '01000010001': 4, '10001010000': 8, '01000000101': 2, '00110000010': 3, '01000100100': 1, '10100010000': 4, '10001000100': 6, '00110000001': 4, '00010010001': 3, '10100000001': 2, '10000001100': 3, '10000100010': 1, '01000001100': 1, '10100001000': 4, '00100010001': 1, '00000100101': 2, '00010001100': 1, '10100100000': 2, '10001000001': 2, '00110001000': 2, '00001010001': 1, '10000010001': 1, '00110010000': 2, '10001001000': 1, '10100000000': 6, '01000001000': 4, '00100000001': 7, '00000000101': 5, '00110000000': 8, '10000000001': 3, '00100000100': 2, '00100001000': 1, '10000001000': 3, '10000010000': 3, '00000010001': 5, '00001000100': 3, '00000001100': 4, '10001000000': 10, '00010000001': 4, '01000000010': 3, '10000000100': 3, '00010001000': 1, '00010000100': 1, '00001010000': 2, '00001000001': 2, '00000100001': 1, '00100100000': 1, '00010000000': 2, '01000000000': 2, '00000000010': 3, '00000010000': 4, '00100000000': 3, '00000000100': 2, '00000100000': 3, '00001000000': 1}"
2,"[208, 334, 249, 198, 232, 174, 248, 195, 189, 167]",-2.450980392156863,0.5098039215686274,-1.1372549019607843,1.298457723010153,0.023622047244094488,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 6, '10100001100': 6, '10001010001': 2, '10000100101': 4, '00110010001': 3, '10100100001': 2, '10100100100': 7, '00110001100': 1, '00100100101': 3, '10100010001': 2, '10100000101': 1, '10001000101': 2, '00110000101': 1, '10001001100': 1, '10001000001': 2, '00110000100': 7, '00100000101': 3, '10000010001': 2, '00100010001': 5, '00100001100': 5, '01000100010': 2, '00100100001': 2, '10100000100': 4, '10000100001': 1, '10001000010': 1, '10000001100': 8, '00110000001': 1, '10100010000': 1, '10100000001': 2, '01000010001': 1, '10001001000': 3, '00001000101': 3, '10000000101': 3, '01000100001': 2, '10000100100': 2, '00010001100': 1, '10100001000': 1, '10001000100': 1, '00010010000': 4, '10100000000': 2, '00100100000': 4, '00000000101': 3, '00000100001': 1, '00100000100': 6, '10000000001': 11, '00000100100': 4, '00001000100': 1, '10000000100': 7, '00100000001': 7, '00000100010': 2, '00100010000': 3, '00010000001': 1, '00100000010': 2, '00001001000': 3, '00100000000': 8, '00000000100': 6, '10000000000': 8, '00000000001': 2, '00000100000': 2, '11000100101': 2, '10001100101': 1, '00000000000': 2, '10100101100': 1, '10001011000': 1, '10100110000': 3, '10001000110': 1, '00101010001': 1, '00010100101': 1, '10100001010': 0}"
3,"[242, 359, 202, 303, 362, 328, 326, 160, 262, 204]",-1.1372549019607843,0.7725490196078432,-1.1372549019607843,0.9097109199410987,0.0,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100001': 1, '10100100010': 1, '00110001100': 2, '10100100100': 1, '01000100101': 2, '10100100000': 5, '00100010001': 2, '00000100101': 2, '00001001100': 1, '10001000001': 1, '01000100010': 3, '10001001000': 1, '01000010000': 3, '00010010000': 7, '01000001000': 3, '00100000010': 2, '00001001000': 6, '01000100000': 2, '01000000010': 3, '00001000010': 2, '00000100010': 3, '00010000001': 2, '00000100001': 3, '10000100000': 1, '00100001000': 1, '00001010000': 3, '00100010000': 1, '00000000101': 1, '00001000100': 1, '10000000000': 4, '01000000000': 15, '00000001000': 9, '00000000010': 15, '00000100000': 4, '00001000000': 9, '00000000100': 4, '00000010000': 3, '00100000000': 3, '00000000001': 3, '00010000000': 2, '00000000000': 67}"
4,"[260, 292, 312, 176, 302, 113, 292, 224, 141, 119]",-3.3529411764705883,0.3294117647058823,-1.1372549019607843,0.42129737270402257,0.027559055118110236,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 7, '00110000101': 5, '10100000101': 4, '10001001100': 7, '10001000101': 9, '10100001100': 9, '10000100101': 4, '10001010001': 10, '00110001100': 1, '10100100001': 6, '00100100101': 9, '10100100100': 3, '10100100010': 3, '10100010001': 9, '00110010001': 2, '00100100100': 5, '10000100001': 3, '00100010001': 5, '10000010001': 5, '00110010000': 4, '00110000010': 2, '00010000101': 3, '10001000010': 6, '10000100100': 5, '00100001100': 3, '10001000100': 2, '01000000101': 3, '00100100001': 7, '00110000100': 5, '10100000010': 2, '10100001000': 1, '00000100101': 2, '00010001100': 1, '00010010001': 3, '00110001000': 3, '01000010001': 2, '10000000101': 2, '01000100001': 2, '00001010001': 2, '10001000001': 5, '10100100000': 3, '00001000101': 1, '10001001000': 2, '10001010000': 1, '01000100010': 1, '00100100010': 1, '10000001100': 1, '00000100001': 5, '00001001000': 4, '10100000000': 1, '01000001000': 4, '10000001000': 2, '01000000010': 3, '00100000010': 2, '01000100000': 2, '01000010000': 0}"
5,"[141, 112, 111, 346, 252, 189, 177, 269, 167, 334]",-2.338235294117647,0.5323529411764706,-1.1372549019607843,0.4729714019995351,0.015748031496062992,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 4, '00100100101': 2, '10100000101': 4, '10100100010': 1, '10100100001': 1, '10001010001': 1, '10100000100': 9, '10100001000': 1, '10100000001': 5, '10001000001': 1, '00110010000': 4, '00100100001': 4, '00110000100': 2, '10000100010': 2, '00100100010': 1, '00001001100': 3, '10000000101': 4, '10001000100': 2, '00001000101': 1, '10000010001': 3, '00001010001': 1, '10100100000': 2, '00000100101': 1, '00100000101': 1, '00100010001': 1, '01000100001': 1, '10100000010': 2, '01000100100': 1, '10000100100': 3, '10000000100': 22, '10000000001': 18, '00100000001': 30, '10000001000': 1, '01000000010': 3, '00100000100': 23, '10100000000': 3, '01000000100': 1, '01000000001': 1, '00000001100': 1, '00010001000': 3, '10000010000': 5, '00010000001': 2, '01000010000': 1, '00100010000': 3, '00010010000': 2, '00100000010': 1, '00000100000': 4, '00000000100': 3, '00000000001': 8, '10000000000': 1}"
6,"[331, 204, 355, 274, 140, 363, 187, 303, 304, 341]",-2.299019607843137,0.5401960784313726,-1.1372549019607843,0.5721731380299157,0.003937007874015748,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 1, '00110001100': 4, '10001010001': 4, '10100000101': 1, '01000100101': 2, '01000100100': 4, '10000100001': 4, '10100100000': 8, '00001001100': 2, '00100000101': 4, '10000100100': 5, '10001000100': 3, '00000100101': 10, '10000001100': 3, '10001000010': 3, '00100010001': 6, '10001000001': 1, '01000100001': 2, '10100000100': 1, '00110010000': 3, '00110000001': 2, '00110001000': 1, '00010001100': 1, '00100100001': 3, '10001001000': 1, '01000010001': 1, '10000000101': 2, '00001010001': 2, '00010010001': 1, '00110000000': 7, '10000010000': 1, '00010000010': 13, '10001000000': 3, '00000100010': 9, '01000000010': 1, '00001000010': 9, '01000010000': 8, '01000000001': 1, '00010000001': 3, '01000001000': 5, '10000000100': 3, '00100001000': 2, '00001000001': 5, '00010000100': 2, '00000010001': 3, '01000100000': 5, '00000001100': 2, '00001000000': 2, '00000000010': 9, '00000100000': 7, '00000010000': 4, '01000000000': 13, '00000000100': 2, '10000000000': 0}"
7,"[190, 215, 297, 253, 281, 227, 223, 254, 352, 127]",-2.5588235294117645,0.4882352941176471,-1.1372549019607843,0.45966054405952134,0.007874015748031496,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 2, '10001001100': 3, '00110010001': 1, '00110000101': 5, '00100100101': 3, '10001010001': 1, '10100001100': 1, '10000100101': 1, '00110001100': 1, '10001000101': 1, '10100000101': 1, '00100100100': 4, '00110000100': 1, '10001001000': 6, '01000100010': 6, '10000100010': 1, '10100000100': 2, '00110010000': 6, '00100100010': 3, '00100010001': 2, '00001000101': 3, '10000000101': 2, '10001010000': 1, '00100100001': 4, '00100001100': 7, '00100000101': 4, '10000100100': 2, '00001001100': 10, '10000010001': 2, '00110000010': 1, '00010010001': 6, '10100010000': 3, '01000010001': 1, '00110000001': 2, '10100000001': 1, '10001000001': 1, '00010000010': 2, '00010000100': 12, '00001010000': 3, '00001000010': 3, '00000100001': 2, '00010000001': 4, '00100001000': 2, '10000010000': 6, '00100000010': 2, '00010010000': 7, '10000000001': 2, '00001000001': 6, '00010001000': 5, '10000000100': 1, '00001001000': 8, '00100100000': 2, '10000100000': 2, '10100000000': 5, '00100000100': 3, '00100010000': 6, '00100000001': 2, '00000000101': 4, '10000001000': 1, '01000001000': 2, '01000010000': 1, '00000010001': 1, '10000000000': 3, '00000000100': 2, '00100000000': 2, '00000100000': 2}"
8,"[292, 250, 277, 317, 180, 269, 278, 353, 228, 300]",-2.372549019607843,0.5254901960784314,-1.1372549019607843,0.7576532589320308,0.0,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100010': 4, '10100010001': 6, '10100100001': 1, '00110000101': 1, '00110001100': 2, '10001001100': 5, '10001010001': 2, '01000100101': 1, '10100100100': 1, '01000100010': 5, '00000100101': 6, '00010001100': 4, '00100100100': 4, '01000100100': 6, '10100100000': 2, '01000001100': 3, '01000100001': 8, '10001000010': 6, '10001010000': 5, '01000010001': 2, '10000100010': 2, '10001001000': 3, '00110000010': 6, '10100000100': 2, '00001010001': 2, '00100100010': 2, '10000000101': 2, '00110010000': 1, '10000010001': 1, '00110001000': 1, '10001000000': 3, '00001010000': 1, '01000001000': 9, '01000010000': 11, '00100100000': 1, '00010000010': 3, '01000000100': 1, '01000100000': 4, '00001000010': 6, '01000000010': 12, '00000100010': 4, '00000100100': 2, '00000010001': 2, '00001001000': 1, '00001000001': 1, '10100000000': 2, '00010001000': 2, '00000100001': 1, '00100010000': 2, '10000001000': 1, '10000100000': 1, '00001000100': 1, '00010000000': 5, '00000100000': 10, '00001000000': 1, '00000010000': 4, '01000000000': 5, '00000001000': 3, '00000000010': 1, '00100000000': 1, '00000000001': 1, '00000000000': 4, '10001001101': 2}"
9,"[102, 147, 167, 136, 101, 136, 141, 135, 330, 229]",-2.4705882352941178,0.5058823529411764,-1.1372549019607843,1.0151127644733786,0.007874015748031496,0.027559055118110236,0.0,0.0,0.9984020948542881,63.23576401268723,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,"{'10100100101': 2, '10001001100': 18, '00110001100': 7, '01000100101': 4, '10100010001': 1, '00100100101': 2, '10001000101': 1, '10001010001': 3, '00110000101': 3, '10100000101': 3, '00001001100': 4, '00100010001': 2, '10001000100': 4, '10001001000': 4, '01000100010': 11, '00110010000': 7, '10100000100': 1, '10100000010': 2, '10100100000': 1, '10100001000': 1, '10000010001': 1, '00110000010': 6, '00100001100': 5, '00010000101': 1, '00110000001': 2, '10000001100': 1, '10001000000': 11, '10000000001': 2, '10000000100': 1, '00000001100': 8, '10000001000': 6, '01000100000': 2, '00000100010': 1, '00000010001': 4, '00100010000': 3, '10100000000': 7, '00100000100': 1, '00000100001': 2, '01000000010': 1, '00000100100': 6, '00000000101': 4, '00010000001': 3, '00110000000': 4, '10000100000': 1, '10000010000': 1, '00000000001': 9, '00100000000': 4, '00010000000': 7, '00000000010': 4, '10000000000': 3, '00001000000': 2, '01000000000': 1, '00000001000': 1, '00000000000': 8}"
